"REGISTRATION","VALID_SINCE","VALID_UNTIL","AC_OPERATOR","AC_OWNER","AC_SUBTYPE","AC_LOGICAL_NO","AC_STATE","DRY_OPERATING_WGT","MAX_TAKEOFF_WGT","CARGO_CAPACITY","FUEL_CAPACITY","AVG_FUEL_CONSUMP","AC_INDEX","CREWSIZE_COCKPIT","CREWSIZE_CABIN","STD_VERSION","AP_RESTRICTION","AC_OWNER_NAME","AC_SUBTYPE_NAME","AC_CATEGORY","REMARK","FUEL_MEASURE_UNIT","AC_CALLSIGN","RADIO","NOISE","PHONE","SPECIAL_EQUIPMENT","ACARS","ALT_REG","RECORD_ID","LAST_UPDATE","LAST_UPDATE_USER_ID","STD_VERSION_ALT_1","STD_VERSION_ALT_2","STD_VERSION_ALT_3","STD_VERSION_ALT_4","ILS_EQUIPMENT","AUTOLAND","HOMEBASE"
"BKQY",16-JUN-18,31-DEC-35,"CX ","CX","77K",5,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368 (ASP LONG TERM PARKING FROM 09NOV20)                         ","kg ","","",,"","","S","",391130,02-MAR-22,"netline","","","","","I","Y",""
"BKQC",09-AUG-18,31-DEC-35,"CX ","CX","77K",7,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368 (ASP LONG TERM PARKING FROM 03NOV20)                         ","kg ","","",,"","","S","",391132,02-MAR-22,"netline","","","","","I","Y",""
"BKQZ",18-AUG-18,31-DEC-35,"CX ","CX","77K",8,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368 (ASP LONG TERM PARKING FROM 06NOV20)                         ","kg ","","",,"","","S","",391134,02-MAR-22,"netline","","","","","I","Y",""
"BKPY",13-APR-18,11-OCT-20,"CX ","CX","77K",1,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368                                                              ","kg ","","",,"","","S","",387116,02-MAR-22,"netline","","","","","I","Y",""
"BKQX",02-MAY-18,06-JUN-25,"CX ","CX","77K",2,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368 (ASP LONG TERM PARKING FROM 09NOV20)                         ","kg ","","",,"","","S","",387266,23-APR-25,"iocltm","","","","","I","Y",""
"BHNE",20-MAY-18,31-DEC-18,"CX ","CX","77P",1,"R",0,0,0,0,0,125,0,0,"STN","N","CX                            ","77P                           ","J","42J/396Y = 438 (ASP LONG TERM PARKING FROM 01AUG20)                             ","kg ","","",,"","","S","",367778,02-MAR-22,"netline","","","","","I","Y",""
"BLXA",01-JUN-18,31-DEC-18,"CX ","CX","35J",1,"R",0,268000,0,0,0,15,0,0,"STN","N","CX                            ","35J                           ","J","46J/32W/256Y = 334                                                              ","kg ","","",,"","","S","",387680,02-MAR-22,"netline","","","","","I","Y",""
"BLXB",01-AUG-18,31-DEC-18,"CX ","CX","35J",2,"R",0,268000,0,0,0,15,0,0,"STN","N","CX                            ","35J                           ","J","46J/32W/256Y = 334                                                              ","kg ","","",,"","","S","",387681,02-MAR-22,"netline","","","","","I","Y",""
"LD33F",19-FEB-18,31-DEC-35,"LD ","LD","33F",0,"O",0,0,0,0,0,290,0,0,"VVSTN","N","LD                            ","33F                           ","J","-                                                                               ","kg ","","",,"","","","",374172,02-MAR-22,"netline","","","","","I","Y",""
"BHNR",01-SEP-18,05-AUG-21,"CX ","CX","77K",9,"R",0,0,0,0,0,105,0,0,"STN","N","CX                            ","77K                           ","J","40J/32W/296Y = 368                                                              ","kg ","","",,"","","S","",391135,02-MAR-22,"netline","","","","","I","Y",""
